Epoch1,AUC1,Epoch2,AUC2
1,0.673535 ,1,0.684848 
2,0.684848 ,2,0.706667 
3,0.703838 ,3,0.720000 
4,0.711515 ,4,0.725253 
5,0.732525 ,5,0.733333 
6,0.743434 ,6,0.737576 
7,0.749091 ,7,0.741818 
8,0.765253 ,8,0.743838 
9,0.781414 ,9,0.750168 
10,0.790505 ,10,0.756498 
11,0.799596 ,11,0.762828 
12,0.799596 ,12,0.768889 
13,0.801414 ,13,0.776970 
14,0.803232 ,14,0.779798 
15,0.803636 ,15,0.783434 
16,0.808081 ,16,0.785455 
17,0.808485 ,17,0.791111 
18,0.806465 ,18,0.793536 
19,0.810101 ,19,0.795960 
20,0.806869 ,20,0.796768 
21,0.810909 ,21,0.798788 
22,0.811515 ,22,0.804041 
23,0.812121 ,23,0.809293 
24,0.813131 ,24,0.811515 
25,0.814141 ,25,0.813737 
26,0.815758 ,26,0.816566 
27,0.816162 ,27,0.819394 
28,0.817778 ,28,0.819798 
29,0.817374 ,29,0.820202 
30,0.817374 ,30,0.838384 
31,0.819798 ,31,0.825455 
32,0.819798 ,32,0.827879 
33,0.819798 ,33,0.830303 
34,0.821414 ,34,0.834747 
35,0.820202 ,35,0.836364 
36,0.819798 ,36,0.836768 
37,0.821414 ,37,0.838182 
38,0.821818 ,38,0.839596 
39,0.825455 ,39,0.839192 
40,0.826667 ,40,0.839192 
41,0.827879 ,41,0.843636 
42,0.827879 ,42,0.845657 
43,0.829899 ,43,0.850909 
44,0.827879 ,44,0.851313 
45,0.829899 ,45,0.856970 
46,0.830303 ,46,0.860202 
47,0.830303 ,47,0.861010 
48,0.830303 ,48,0.864243 
49,0.835354 ,49,0.867475 
50,0.840404 ,50,0.869293 
51,0.840404 ,51,0.871111 
52,0.840404 ,52,0.874343 
53,0.840404 ,53,0.874747 
54,0.839596 ,54,0.878384 
55,0.834747 ,55,0.877576 
56,0.836364 ,56,0.878586 
57,0.836768 ,57,0.879596 
58,0.838384 ,58,0.879596 
59,0.838990 ,59,0.880404 
60,0.839596 ,60,0.881818 
61,0.840000 ,61,0.883232 
62,0.839596 ,62,0.883636 
63,0.839192 ,63,0.884040 
64,0.839596 ,64,0.883838 
65,0.839596 ,65,0.883636 
66,0.835960 ,66,0.883232 
67,0.840808 ,67,0.882424 
68,0.840404 ,68,0.882020 
69,0.839192 ,69,0.882155 
70,0.842020 ,70,0.882289 
71,0.843232 ,71,0.882424 
72,0.842424 ,72,0.883636 
73,0.843434 ,73,0.883232 
74,0.844444 ,74,0.884444 
75,0.842020 ,75,0.882828 
76,0.843232 ,76,0.883838 
77,0.844445 ,77,0.884848 
78,0.845657 ,78,0.885051 
79,0.844848 ,79,0.885253 
80,0.845657 ,80,0.885253 
81,0.848485 ,81,0.885657 
82,0.848889 ,82,0.886061 
83,0.850909 ,83,0.886330 
84,0.851111 ,84,0.886600 
85,0.851313 ,85,0.886869 
86,0.851313 ,86,0.886667 
87,0.855758 ,87,0.886465 
88,0.857374 ,88,0.886667 
89,0.855758 ,89,0.886869 
90,0.856970 ,90,0.887071 
91,0.856970 ,91,0.887273 
92,0.856162 ,92,0.887677 
93,0.855354 ,93,0.888081 
94,0.856162 ,94,0.888081 
95,0.855354 ,95,0.888081 
96,0.855758 ,96,0.888889 
97,0.854949 ,97,0.889091 
98,0.855758 ,98,0.889293 
99,0.855354 ,99,0.889697 
100,0.855355 ,100,0.889699 
