Epoch1,AUC1,Epoch2,AUC2
1,0.675867 ,1,0.685965 
2,0.686563 ,2,0.705760 
3,0.703293 ,3,0.720077 
4,0.712507 ,4,0.726723 
5,0.734146 ,5,0.734189 
6,0.743714 ,6,0.738175 
7,0.750357 ,7,0.742522 
8,0.766362 ,8,0.745686 
9,0.782418 ,9,0.751875 
10,0.791330 ,10,0.756711 
11,0.801029 ,11,0.764121 
12,0.801799 ,12,0.769418 
13,0.801449 ,13,0.780374 
14,0.805260 ,14,0.780059 
15,0.804865 ,15,0.784121 
16,0.809526 ,16,0.786106 
17,0.808348 ,17,0.791672 
18,0.807600 ,18,0.794677 
19,0.812586 ,19,0.797233 
20,0.806789 ,20,0.796149 
21,0.809931 ,21,0.799215 
22,0.810772 ,22,0.803720 
23,0.813387 ,23,0.811529 
24,0.816516 ,24,0.814980 
25,0.816265 ,25,0.816120 
26,0.818431 ,26,0.817912 
27,0.817261 ,27,0.821417 
28,0.820176 ,28,0.820965 
29,0.818103 ,29,0.822859 
30,0.818987 ,30,0.840052 
31,0.820531 ,31,0.826225 
32,0.820249 ,32,0.827749 
33,0.820931 ,33,0.830663 
34,0.821938 ,34,0.836061 
35,0.822510 ,35,0.836138 
36,0.820993 ,36,0.837546 
37,0.822814 ,37,0.840522 
38,0.822480 ,38,0.840625 
39,0.827711 ,39,0.842177 
40,0.826935 ,40,0.841639 
41,0.829539 ,41,0.844348 
42,0.828528 ,42,0.845298 
43,0.829960 ,43,0.851861 
44,0.828390 ,44,0.851832 
45,0.830094 ,45,0.858348 
46,0.831090 ,46,0.862816 
47,0.830964 ,47,0.860887 
48,0.831615 ,48,0.864854 
49,0.836919 ,49,0.868807 
50,0.841257 ,50,0.871428 
51,0.841378 ,51,0.872622 
52,0.841693 ,52,0.875757 
53,0.840864 ,53,0.877092 
54,0.841304 ,54,0.879878 
55,0.836589 ,55,0.878339 
56,0.837568 ,56,0.879643 
57,0.840163 ,57,0.879889 
58,0.840301 ,58,0.881143 
59,0.839878 ,59,0.882347 
60,0.840234 ,60,0.879838 
61,0.840768 ,61,0.885450 
62,0.840094 ,62,0.884579 
63,0.841321 ,63,0.885501 
64,0.839898 ,64,0.885500 
65,0.840515 ,65,0.882341 
66,0.836431 ,66,0.883036 
67,0.842854 ,67,0.883091 
68,0.839985 ,68,0.882229 
69,0.839830 ,69,0.883429 
70,0.842898 ,70,0.882774 
71,0.844551 ,71,0.881713 
72,0.843885 ,72,0.885248 
73,0.844218 ,73,0.885332 
74,0.846433 ,74,0.886008 
75,0.843335 ,75,0.883115 
76,0.846700 ,76,0.884577 
77,0.843937 ,77,0.886396 
78,0.847278 ,78,0.886654 
79,0.844803 ,79,0.887260 
80,0.845859 ,80,0.885959 
81,0.851470 ,81,0.885236 
82,0.851634 ,82,0.886382 
83,0.850053 ,83,0.887864 
84,0.851888 ,84,0.888344 
85,0.852247 ,85,0.890094 
86,0.850181 ,86,0.887784 
87,0.856709 ,87,0.887710 
88,0.858767 ,88,0.887490 
89,0.856975 ,89,0.887463 
90,0.855976 ,90,0.888853 
91,0.859078 ,91,0.888626 
92,0.857407 ,92,0.888470 
93,0.856292 ,93,0.888001 
94,0.856408 ,94,0.888958 
95,0.857066 ,95,0.888690 
96,0.857676 ,96,0.891144 
97,0.855467 ,97,0.891038 
98,0.856848 ,98,0.889271 
99,0.857181 ,99,0.891864 
100,0.854400 ,100,0.890127 
